start.dates,end.dates,Spider,high.temp,low.temp,City
10/31/04,11/6/04,52.76292335,53.95714286,42.55714286,Seattle
11/7/04,11/13/04,42.60249554,52.17142857,41.2,Seattle
11/14/04,11/20/04,33.33333333,50.5,39.72857143,Seattle
11/21/04,11/27/04,24.24242424,48.85714286,38.18571429,Seattle
11/28/04,12/4/04,19.96434938,47.4,36.78571429,Seattle
12/5/04,12/11/04,16.39928699,46.14285714,35.72857143,Seattle
12/12/04,12/18/04,13.54723708,45.35714286,35.21428571,Seattle
12/19/04,12/25/04,12.29946524,45.1,35.25714286,Seattle
12/26/04,1/1/05,10.87344029,45.35714286,35.71428571,Seattle
1/2/05,1/8/05,8.734402852,46,36.38571429,Seattle
1/9/05,1/15/05,9.090909091,46.77142857,36.92857143,Seattle
1/16/05,1/22/05,8.556149733,47.6,37.18571429,Seattle
1/23/05,1/29/05,11.0516934,48.27142857,37.17142857,Seattle
1/30/05,2/5/05,13.36898396,48.84285714,36.95714286,Seattle
2/6/05,2/12/05,14.26024955,49.35714286,36.74285714,Seattle
2/13/05,2/19/05,13.90374332,49.94285714,36.72857143,Seattle
2/20/05,2/26/05,14.43850267,50.71428571,37.05714286,Seattle
2/27/05,3/5/05,15.68627451,51.62857143,37.7,Seattle
3/6/05,3/12/05,16.75579323,52.67142857,38.54285714,Seattle
3/13/05,3/19/05,18.3600713,53.72857143,39.38571429,Seattle
3/20/05,3/26/05,19.96434938,54.74285714,40.1,Seattle
3/27/05,4/2/05,22.99465241,55.74285714,40.68571429,Seattle
4/3/05,4/9/05,26.02495544,56.77142857,41.18571429,Seattle
4/10/05,4/16/05,27.09447415,57.92857143,41.8,Seattle
4/17/05,4/23/05,26.02495544,59.22857143,42.57142857,Seattle
4/24/05,4/30/05,30.12477718,60.74285714,43.67142857,Seattle
5/1/05,5/7/05,32.97682709,62.31428571,45,Seattle
5/8/05,5/14/05,34.75935829,63.84285714,46.4,Seattle
5/15/05,5/21/05,35.65062389,65.2,47.77142857,Seattle
5/22/05,5/28/05,37.25490196,66.37142857,49,Seattle
5/29/05,6/4/05,39.57219251,67.42857143,50.02857143,Seattle
6/5/05,6/11/05,40.81996435,68.48571429,50.94285714,Seattle
6/12/05,6/18/05,40.99821747,69.65714286,51.81428571,Seattle
6/19/05,6/25/05,41.17647059,71.04285714,52.72857143,Seattle
6/26/05,7/2/05,43.1372549,72.61428571,53.7,Seattle
7/3/05,7/9/05,44.38502674,74.2,54.65714286,Seattle
7/10/05,7/16/05,46.16755793,75.61428571,55.5,Seattle
7/17/05,7/23/05,49.01960784,76.67142857,56.12857143,Seattle
7/24/05,7/30/05,53.47593583,77.22857143,56.45714286,Seattle
7/31/05,8/6/05,55.0802139,77.32857143,56.5,Seattle
8/7/05,8/13/05,60.60606061,77,56.32857143,Seattle
8/14/05,8/20/05,64.52762923,76.4,55.97142857,Seattle
8/21/05,8/27/05,66.31016043,75.52857143,55.44285714,Seattle
8/28/05,9/3/05,67.02317291,74.44285714,54.71428571,Seattle
9/4/05,9/10/05,66.31016043,73.02857143,53.75714286,Seattle
9/11/05,9/17/05,68.98395722,71.22857143,52.54285714,Seattle
9/18/05,9/24/05,71.30124777,69.01428571,51.08571429,Seattle
9/25/05,10/1/05,67.20142602,66.45714286,49.52857143,Seattle
10/2/05,10/8/05,64.17112299,63.7,47.94285714,Seattle
10/9/05,10/15/05,60.24955437,61,46.5,Seattle
10/16/05,10/22/05,59.71479501,58.44285714,45.14285714,Seattle
10/23/05,10/29/05,50.98039216,56.2,43.94285714,Seattle
10/30/05,11/5/05,44.20677362,54.21428571,42.74285714,Seattle
11/6/05,11/12/05,40.46345811,52.42857143,41.4,Seattle
11/13/05,11/19/05,36.18538324,50.72857143,39.94285714,Seattle
11/20/05,11/26/05,32.0855615,49.08571429,38.41428571,Seattle
11/27/05,12/3/05,24.59893048,47.6,36.95714286,Seattle
12/4/05,12/10/05,18.71657754,46.3,35.85714286,Seattle
12/11/05,12/17/05,14.61675579,45.42857143,35.25714286,Seattle
12/18/05,12/24/05,11.76470588,45.11428571,35.21428571,Seattle
12/25/05,12/31/05,8.556149733,45.28571429,35.62857143,Seattle
1/1/06,1/7/06,4.991087344,45.9,36.3,Seattle
1/8/06,1/14/06,8.199643494,46.65714286,36.85714286,Seattle
1/15/06,1/21/06,7.308377897,47.48571429,37.17142857,Seattle
1/22/06,1/28/06,5.525846702,48.18571429,37.18571429,Seattle
1/29/06,2/4/06,5.525846702,48.75714286,37,Seattle
2/5/06,2/11/06,5.525846702,49.28571429,36.75714286,Seattle
2/12/06,2/18/06,6.060606061,49.85714286,36.71428571,Seattle
2/19/06,2/25/06,6.595365419,50.58571429,36.98571429,Seattle
2/26/06,3/4/06,8.199643494,51.48571429,37.6,Seattle
3/5/06,3/11/06,8.377896613,52.52857143,38.41428571,Seattle
3/12/06,3/18/06,8.734402852,53.57142857,39.27142857,Seattle
3/19/06,3/25/06,9.982174688,54.6,40,Seattle
3/26/06,4/1/06,10.87344029,55.6,40.61428571,Seattle
4/2/06,4/8/06,14.26024955,56.62857143,41.11428571,Seattle
4/9/06,4/15/06,18.00356506,57.74285714,41.7,Seattle
4/16/06,4/22/06,20.85561497,59.02857143,42.44285714,Seattle
4/23/06,4/29/06,24.06417112,60.52857143,43.5,Seattle
4/30/06,5/6/06,24.7771836,62.08571429,44.8,Seattle
5/7/06,5/13/06,26.73796791,63.62857143,46.2,Seattle
5/14/06,5/20/06,27.98573975,65.02857143,47.58571429,Seattle
5/21/06,5/27/06,29.41176471,66.21428571,48.82857143,Seattle
5/28/06,6/3/06,29.59001783,67.27142857,49.9,Seattle
6/4/06,6/10/06,30.65953654,68.32857143,50.81428571,Seattle
6/11/06,6/17/06,28.16399287,69.48571429,51.68571429,Seattle
6/18/06,6/24/06,29.94652406,70.82857143,52.6,Seattle
6/25/06,7/1/06,32.44206774,72.38571429,53.55714286,Seattle
7/2/06,7/8/06,35.29411765,73.97142857,54.52857143,Seattle
7/9/06,7/15/06,36.18538324,75.44285714,55.38571429,Seattle
7/16/06,7/22/06,39.03743316,76.54285714,56.05714286,Seattle
7/23/06,7/29/06,40.46345811,77.18571429,56.42857143,Seattle
7/30/06,8/5/06,44.74153298,77.34285714,56.5,Seattle
8/6/06,8/12/06,47.95008913,77.05714286,56.37142857,Seattle
8/13/06,8/19/06,50.80213904,76.5,56.02857143,Seattle
8/20/06,8/26/06,56.32798574,75.67142857,55.52857143,Seattle
8/27/06,9/2/06,60.60606061,74.61428571,54.84285714,Seattle
9/3/06,9/9/06,58.82352941,73.25714286,53.9,Seattle
9/10/06,9/16/06,55.0802139,71.51428571,52.72857143,Seattle
9/17/06,9/23/06,53.83244207,69.34285714,51.31428571,Seattle
9/24/06,9/30/06,50.80213904,66.84285714,49.75714286,Seattle
10/1/06,10/7/06,46.52406417,64.1,48.15714286,Seattle
10/8/06,10/14/06,44.20677362,61.37142857,46.7,Seattle
10/15/06,10/21/06,37.6114082,58.8,45.32857143,Seattle
10/22/06,10/28/06,31.01604278,56.5,44.11428571,Seattle
10/29/06,11/4/06,27.62923351,54.48571429,42.91428571,Seattle
11/5/06,11/11/06,22.28163993,52.67142857,41.6,Seattle
11/12/06,11/18/06,15.68627451,50.97142857,40.15714286,Seattle
11/19/06,11/25/06,11.40819964,49.31428571,38.62857143,Seattle
11/26/06,12/2/06,11.0516934,47.8,37.15714286,Seattle
12/3/06,12/9/06,6.773618538,46.45714286,35.98571429,Seattle
12/10/06,12/16/06,6.773618538,45.52857143,35.3,Seattle
12/17/06,12/23/06,6.773618538,45.12857143,35.2,Seattle
12/24/06,12/30/06,5.704099822,45.22857143,35.54285714,Seattle
12/31/06,1/6/07,6.951871658,45.8,36.2,Seattle
1/7/07,1/13/07,6.417112299,46.54285714,36.78571429,Seattle
1/14/07,1/20/07,4.991087344,47.37142857,37.15714286,Seattle
1/21/07,1/27/07,4.099821747,48.1,37.2,Seattle
1/28/07,2/3/07,4.456327986,48.67142857,37.02857143,Seattle
2/4/07,2/10/07,6.417112299,49.21428571,36.78571429,Seattle
2/11/07,2/17/07,4.456327986,49.77142857,36.7,Seattle
2/18/07,2/24/07,4.991087344,50.47142857,36.92857143,Seattle
2/25/07,3/3/07,4.812834225,51.34285714,37.5,Seattle
3/4/07,3/10/07,3.743315508,52.37142857,38.28571429,Seattle
3/11/07,3/17/07,3.565062389,53.42857143,39.15714286,Seattle
3/18/07,3/24/07,4.812834225,54.45714286,39.9,Seattle
3/25/07,3/31/07,7.843137255,55.45714286,40.54285714,Seattle
4/1/07,4/7/07,11.76470588,56.47142857,41.04285714,Seattle
4/8/07,4/14/07,11.40819964,57.57142857,41.6,Seattle
4/15/07,4/21/07,14.61675579,58.82857143,42.32857143,Seattle
4/22/07,4/28/07,16.75579323,60.31428571,43.32857143,Seattle
4/29/07,5/5/07,21.03386809,61.85714286,44.6,Seattle
5/6/07,5/12/07,22.81639929,63.41428571,46,Seattle
5/13/07,5/19/07,23.885918,64.84285714,47.4,Seattle
5/20/07,5/26/07,26.73796791,66.05714286,48.65714286,Seattle
5/27/07,6/2/07,29.59001783,67.12857143,49.75714286,Seattle
6/3/07,6/9/07,29.76827094,68.17142857,50.68571429,Seattle
6/10/07,6/16/07,31.1942959,69.31428571,51.55714286,Seattle
6/17/07,6/23/07,32.62032086,70.61428571,52.47142857,Seattle
6/24/07,6/30/07,35.65062389,72.15714286,53.41428571,Seattle
7/1/07,7/7/07,39.75044563,73.75714286,54.4,Seattle
7/8/07,7/14/07,45.63279857,75.24285714,55.27142857,Seattle
7/15/07,7/21/07,49.5543672,76.41428571,55.97142857,Seattle
7/22/07,7/28/07,56.8627451,77.12857143,56.4,Seattle
7/29/07,8/4/07,65.06238859,77.34285714,56.5,Seattle
8/5/07,8/11/07,71.47950089,77.11428571,56.4,Seattle
8/12/07,8/18/07,75.2228164,76.6,56.1,Seattle
8/19/07,8/25/07,77.71836007,75.8,55.6,Seattle
8/26/07,9/1/07,80.03565062,74.78571429,54.95714286,Seattle
9/2/07,9/8/07,81.46167558,73.47142857,54.05714286,Seattle
9/9/07,9/15/07,83.42245989,71.78571429,52.9,Seattle
9/16/07,9/22/07,83.06595365,69.68571429,51.52857143,Seattle
9/23/07,9/29/07,77.18360071,67.21428571,49.98571429,Seattle
9/30/07,10/6/07,70.94474153,64.5,48.38571429,Seattle
10/7/07,10/13/07,61.85383244,61.75714286,46.9,Seattle
10/14/07,10/20/07,52.76292335,59.14285714,45.51428571,Seattle
10/21/07,10/27/07,44.20677362,56.81428571,44.28571429,Seattle
10/28/07,11/3/07,36.54188948,54.75714286,43.08571429,Seattle
11/4/07,11/10/07,32.0855615,52.92857143,41.8,Seattle
11/11/07,11/17/07,26.91622103,51.2,40.37142857,Seattle
11/18/07,11/24/07,20.1426025,49.55714286,38.84285714,Seattle
11/25/07,12/1/07,14.43850267,48,37.35714286,Seattle
12/2/07,12/8/07,7.664884135,46.62857143,36.12857143,Seattle
12/9/07,12/15/07,4.991087344,45.62857143,35.35714286,Seattle
12/16/07,12/22/07,3.03030303,45.15714286,35.18571429,Seattle
12/23/07,12/29/07,1.247771836,45.18571429,35.47142857,Seattle
12/30/07,1/5/08,1.426024955,45.7,36.1,Seattle
1/6/08,1/12/08,0.534759358,46.42857143,36.71428571,Seattle
1/13/08,1/19/08,1.069518717,47.25714286,37.12857143,Seattle
1/20/08,1/26/08,0,48,37.2,Seattle
1/27/08,2/2/08,0.534759358,48.6,37.07142857,Seattle
2/3/08,2/9/08,3.20855615,49.14285714,36.81428571,Seattle
2/10/08,2/16/08,2.852049911,49.68571429,36.7,Seattle
2/17/08,2/23/08,4.812834225,50.35714286,36.87142857,Seattle
2/24/08,3/1/08,4.812834225,51.17142857,37.37142857,Seattle
3/2/08,3/8/08,5.704099822,52.07142857,38.04285714,Seattle
3/9/08,3/15/08,8.556149733,53.12857143,38.91428571,Seattle
3/16/08,3/22/08,8.556149733,54.17142857,39.7,Seattle
3/23/08,3/29/08,10.16042781,55.17142857,40.37142857,Seattle
3/30/08,4/5/08,12.47771836,56.17142857,40.9,Seattle
4/6/08,4/12/08,15.86452763,57.24285714,41.42857143,Seattle
4/13/08,4/19/08,18.00356506,58.45714286,42.1,Seattle
4/20/08,4/26/08,21.03386809,59.87142857,43.01428571,Seattle
4/27/08,5/3/08,23.885918,61.41428571,44.21428571,Seattle
5/4/08,5/10/08,23.885918,62.97142857,45.6,Seattle
5/11/08,5/17/08,26.02495544,64.45714286,47,Seattle
5/18/08,5/24/08,28.52049911,65.72857143,48.31428571,Seattle
5/25/08,5/31/08,29.76827094,66.82857143,49.47142857,Seattle
6/1/08,6/7/08,32.62032086,67.87142857,50.42857143,Seattle
6/8/08,6/14/08,33.86809269,68.97142857,51.31428571,Seattle
6/15/08,6/21/08,33.68983957,70.21428571,52.2,Seattle
6/22/08,6/28/08,33.33333333,71.71428571,53.14285714,Seattle
6/29/08,7/5/08,34.22459893,73.3,54.11428571,Seattle
7/6/08,7/12/08,33.68983957,74.84285714,55.04285714,Seattle
7/13/08,7/19/08,35.82887701,76.11428571,55.8,Seattle
7/20/08,7/26/08,40.10695187,76.97142857,56.3,Seattle
7/27/08,8/2/08,42.78074866,77.34285714,56.5,Seattle
8/3/08,8/9/08,44.9197861,77.21428571,56.45714286,Seattle
8/10/08,8/16/08,46.70231729,76.77142857,56.2,Seattle
8/17/08,8/23/08,45.98930481,76.05714286,55.75714286,Seattle
8/24/08,8/30/08,49.19786096,75.1,55.17142857,Seattle
8/31/08,9/6/08,50.98039216,73.88571429,54.32857143,Seattle
9/7/08,9/13/08,51.51515152,72.3,53.25714286,Seattle
9/14/08,9/20/08,53.83244207,70.32857143,51.94285714,Seattle
9/21/08,9/27/08,53.83244207,67.94285714,50.44285714,Seattle
9/28/08,10/4/08,49.91087344,65.3,48.84285714,Seattle
10/5/08,10/11/08,44.74153298,62.52857143,47.3,Seattle
10/12/08,10/18/08,41.53297683,59.87142857,45.9,Seattle
10/19/08,10/25/08,36.36363636,57.44285714,44.62857143,Seattle
10/26/08,11/1/08,31.90730838,55.32857143,43.42857143,Seattle
11/2/08,11/8/08,28.34224599,53.42857143,42.18571429,Seattle
11/9/08,11/15/08,24.42067736,51.68571429,40.8,Seattle
11/16/08,11/22/08,20.32085561,50.01428571,39.27142857,Seattle
11/23/08,11/29/08,17.11229947,48.42857143,37.75714286,Seattle
11/30/08,12/6/08,11.942959,47,36.45714286,Seattle
12/7/08,12/13/08,6.951871658,45.87142857,35.51428571,Seattle
12/14/08,12/20/08,6.23885918,45.22857143,35.18571429,Seattle
12/21/08,12/27/08,5.347593583,45.12857143,35.34285714,Seattle
12/28/08,1/3/09,3.386809269,45.51428571,35.9,Seattle
1/4/09,1/10/09,3.743315508,46.2,36.55714286,Seattle
1/11/09,1/17/09,3.20855615,47.02857143,37.04285714,Seattle
1/18/09,1/24/09,3.921568627,47.8,37.2,Seattle
1/25/09,1/31/09,1.604278075,48.44285714,37.12857143,Seattle
2/1/09,2/7/09,2.852049911,48.98571429,36.88571429,Seattle
2/8/09,2/14/09,5.882352941,49.52857143,36.71428571,Seattle
2/15/09,2/21/09,5.704099822,50.14285714,36.78571429,Seattle
2/22/09,2/28/09,6.951871658,50.94285714,37.21428571,Seattle
3/1/09,3/7/09,7.308377897,51.92857143,37.92857143,Seattle
3/8/09,3/14/09,9.803921569,52.97142857,38.78571429,Seattle
3/15/09,3/21/09,11.22994652,54.02857143,39.6,Seattle
3/22/09,3/28/09,12.65597148,55.02857143,40.28571429,Seattle
3/29/09,4/4/09,14.43850267,56.02857143,40.82857143,Seattle
4/5/09,4/11/09,14.97326203,57.08571429,41.34285714,Seattle
4/12/09,4/18/09,17.82531194,58.27142857,42,Seattle
4/19/09,4/25/09,21.56862745,59.65714286,42.85714286,Seattle
4/26/09,5/2/09,21.03386809,61.18571429,44.02857143,Seattle
5/3/09,5/9/09,24.06417112,62.75714286,45.4,Seattle
5/10/09,5/16/09,25.6684492,64.25714286,46.8,Seattle
5/17/09,5/23/09,26.38146168,65.55714286,48.14285714,Seattle
5/24/09,5/30/09,25.84670232,66.67142857,49.31428571,Seattle
5/31/09,6/6/09,29.23351159,67.72857143,50.3,Seattle
6/7/09,6/13/09,29.94652406,68.8,51.18571429,Seattle
6/14/09,6/20/09,31.01604278,70.02857143,52.07142857,Seattle
6/21/09,6/27/09,34.58110517,71.48571429,53,Seattle
6/28/09,7/4/09,37.6114082,73.07142857,53.98571429,Seattle
7/5/09,7/11/09,36.36363636,74.64285714,54.91428571,Seattle
7/12/09,7/18/09,39.39393939,75.94285714,55.7,Seattle
7/19/09,7/25/09,40.46345811,76.88571429,56.25714286,Seattle
7/26/09,8/1/09,44.20677362,77.31428571,56.48571429,Seattle
8/2/09,8/8/09,47.41532977,77.25714286,56.47142857,Seattle
8/9/09,8/15/09,51.51515152,76.85714286,56.25714286,Seattle
8/16/09,8/22/09,54.72370766,76.17142857,55.82857143,Seattle
8/23/09,8/29/09,58.46702317,75.25714286,55.27142857,Seattle
8/30/09,9/5/09,59.53654189,74.07142857,54.45714286,Seattle
9/6/09,9/12/09,59.18003565,72.55714286,53.42857143,Seattle
9/13/09,9/19/09,58.28877005,70.62857143,52.14285714,Seattle
9/20/09,9/26/09,59.18003565,68.31428571,50.65714286,Seattle
9/27/09,10/3/09,55.25846702,65.68571429,49.07142857,Seattle
10/4/09,10/10/09,51.51515152,62.91428571,47.51428571,Seattle
10/11/09,10/17/09,46.52406417,60.24285714,46.1,Seattle
10/18/09,10/24/09,41.88948307,57.77142857,44.8,Seattle
10/25/09,10/31/09,36.89839572,55.61428571,43.6,Seattle
11/1/09,11/7/09,28.69875223,53.68571429,42.37142857,Seattle
11/8/09,11/14/09,22.28163993,51.92857143,41,Seattle
11/15/09,11/21/09,18.00356506,50.25714286,39.5,Seattle
11/22/09,11/28/09,13.90374332,48.64285714,37.97142857,Seattle
11/29/09,12/5/09,10.16042781,47.2,36.61428571,Seattle
12/6/09,12/12/09,6.417112299,46,35.61428571,Seattle
12/13/09,12/19/09,4.812834225,45.28571429,35.2,Seattle
12/20/09,12/26/09,4.456327986,45.11428571,35.3,Seattle
12/27/09,1/2/10,4.278074866,45.42857143,35.8,Seattle
1/3/10,1/9/10,4.456327986,46.1,36.47142857,Seattle
1/10/10,1/16/10,3.565062389,46.9,36.98571429,Seattle
1/17/10,1/23/10,4.278074866,47.7,37.2,Seattle
1/24/10,1/30/10,3.921568627,48.35714286,37.15714286,Seattle
1/31/10,2/6/10,3.743315508,48.91428571,36.91428571,Seattle
2/7/10,2/13/10,6.23885918,49.44285714,36.72857143,Seattle
2/14/10,2/20/10,6.417112299,50.04285714,36.75714286,Seattle
2/21/10,2/27/10,6.417112299,50.82857143,37.12857143,Seattle
2/28/10,3/6/10,6.951871658,51.77142857,37.81428571,Seattle
3/7/10,3/13/10,7.486631016,52.82857143,38.65714286,Seattle
3/14/10,3/20/10,8.021390374,53.87142857,39.5,Seattle
3/21/10,3/27/10,9.44741533,54.88571429,40.2,Seattle
3/28/10,4/3/10,10.69518717,55.88571429,40.75714286,Seattle
4/4/10,4/10/10,11.76470588,56.92857143,41.25714286,Seattle
4/11/10,4/17/10,14.43850267,58.1,41.9,Seattle
4/18/10,4/24/10,17.29055258,59.44285714,42.71428571,Seattle
4/25/10,5/1/10,18.00356506,60.95714286,43.84285714,Seattle
5/2/10,5/8/10,19.60784314,62.54285714,45.2,Seattle
5/9/10,5/15/10,21.03386809,64.05714286,46.6,Seattle
5/16/10,5/22/10,21.74688057,65.37142857,47.95714286,Seattle
5/23/10,5/29/10,22.63814617,66.52857143,49.15714286,Seattle
5/30/10,6/5/10,25.49019608,67.57142857,50.17142857,Seattle
6/6/10,6/12/10,28.34224599,68.64285714,51.05714286,Seattle
6/13/10,6/19/10,29.41176471,69.84285714,51.94285714,Seattle
6/20/10,6/26/10,32.97682709,71.25714286,52.87142857,Seattle
6/27/10,7/3/10,34.93761141,72.84285714,53.84285714,Seattle
7/4/10,7/10/10,39.03743316,74.42857143,54.78571429,Seattle
7/11/10,7/17/10,43.49376114,75.78571429,55.6,Seattle
7/18/10,7/24/10,47.23707665,76.78571429,56.2,Seattle
7/25/10,7/31/10,52.76292335,77.27142857,56.47142857,Seattle
8/1/10,8/7/10,57.93226381,77.3,56.48571429,Seattle
8/8/10,8/14/10,62.92335116,76.92857143,56.3,Seattle
8/15/10,8/21/10,65.06238859,76.28571429,55.9,Seattle
8/22/10,8/28/10,69.16221034,75.4,55.35714286,Seattle
8/29/10,9/4/10,73.4402852,74.25714286,54.58571429,Seattle
9/5/10,9/11/10,72.37076649,72.8,53.6,Seattle
9/12/10,9/18/10,72.90552585,70.92857143,52.34285714,Seattle
9/19/10,9/25/10,71.12299465,68.67142857,50.87142857,Seattle
9/26/10,10/2/10,65.24064171,66.07142857,49.3,Seattle
10/3/10,10/9/10,60.24955437,63.3,47.72857143,Seattle
10/10/10,10/16/10,53.47593583,60.62857143,46.3,Seattle
10/17/10,10/23/10,46.16755793,58.1,44.97142857,Seattle
10/24/10,10/30/10,39.92869875,55.9,43.77142857,Seattle
10/31/10,11/6/10,34.58110517,53.95714286,42.55714286,Seattle
11/7/10,11/13/10,26.38146168,52.17142857,41.2,Seattle
11/14/10,11/20/10,19.2513369,50.5,39.72857143,Seattle
11/21/10,11/27/10,14.79500891,48.85714286,38.18571429,Seattle
11/28/10,12/4/10,10.69518717,47.4,36.78571429,Seattle
12/5/10,12/11/10,6.773618538,46.14285714,35.72857143,Seattle
12/12/10,12/18/10,4.991087344,45.35714286,35.21428571,Seattle
12/19/10,12/25/10,4.278074866,45.1,35.25714286,Seattle
12/26/10,1/1/11,3.03030303,45.35714286,35.71428571,Seattle
1/2/11,1/8/11,4.634581105,46,36.38571429,Seattle
1/9/11,1/15/11,4.278074866,46.77142857,36.92857143,Seattle
1/16/11,1/22/11,3.921568627,47.6,37.18571429,Seattle
1/23/11,1/29/11,4.634581105,48.27142857,37.17142857,Seattle
1/30/11,2/5/11,6.417112299,48.84285714,36.95714286,Seattle
2/6/11,2/12/11,7.130124777,49.35714286,36.74285714,Seattle
2/13/11,2/19/11,7.486631016,49.94285714,36.72857143,Seattle
2/20/11,2/26/11,7.486631016,50.71428571,37.05714286,Seattle
2/27/11,3/5/11,7.664884135,51.62857143,37.7,Seattle
3/6/11,3/12/11,8.377896613,52.67142857,38.54285714,Seattle
3/13/11,3/19/11,9.982174688,53.72857143,39.38571429,Seattle
3/20/11,3/26/11,10.87344029,54.74285714,40.1,Seattle
3/27/11,4/2/11,11.76470588,55.74285714,40.68571429,Seattle
4/3/11,4/9/11,13.01247772,56.77142857,41.18571429,Seattle
4/10/11,4/16/11,13.36898396,57.92857143,41.8,Seattle
4/17/11,4/23/11,14.43850267,59.22857143,42.57142857,Seattle
4/24/11,4/30/11,17.11229947,60.74285714,43.67142857,Seattle
5/1/11,5/7/11,19.96434938,62.31428571,45,Seattle
5/8/11,5/14/11,22.81639929,63.84285714,46.4,Seattle
5/15/11,5/21/11,25.6684492,65.2,47.77142857,Seattle
5/22/11,5/28/11,27.62923351,66.37142857,49,Seattle
5/29/11,6/4/11,30.65953654,67.42857143,50.02857143,Seattle
6/5/11,6/11/11,31.37254902,68.48571429,50.94285714,Seattle
6/12/11,6/18/11,40.10695187,69.65714286,51.81428571,Seattle
6/19/11,6/25/11,41.88948307,71.04285714,52.72857143,Seattle
6/26/11,7/2/11,44.74153298,72.61428571,53.7,Seattle
7/3/11,7/9/11,46.88057041,74.2,54.65714286,Seattle
7/10/11,7/16/11,49.37611408,75.61428571,55.5,Seattle
7/17/11,7/23/11,51.87165775,76.67142857,56.12857143,Seattle
7/24/11,7/30/11,54.90196078,77.22857143,56.45714286,Seattle
7/31/11,8/6/11,56.8627451,77.32857143,56.5,Seattle
8/7/11,8/13/11,59.35828877,77,56.32857143,Seattle
8/14/11,8/20/11,60.60606061,76.4,55.97142857,Seattle
8/21/11,8/27/11,63.81461676,75.52857143,55.44285714,Seattle
8/28/11,9/3/11,58.28877005,74.44285714,54.71428571,Seattle
9/4/11,9/10/11,59.00178253,73.02857143,53.75714286,Seattle
9/11/11,9/17/11,57.93226381,71.22857143,52.54285714,Seattle
9/18/11,9/24/11,57.93226381,69.01428571,51.08571429,Seattle
9/25/11,10/1/11,54.72370766,66.45714286,49.52857143,Seattle
10/2/11,10/8/11,50.08912656,63.7,47.94285714,Seattle
10/9/11,10/15/11,45.45454545,61,46.5,Seattle
10/16/11,10/22/11,41.35472371,58.44285714,45.14285714,Seattle
10/23/11,10/29/11,36.7201426,56.2,43.94285714,Seattle
10/30/11,11/5/11,32.44206774,54.21428571,42.74285714,Seattle
11/6/11,11/12/11,26.91622103,52.42857143,41.4,Seattle
11/13/11,11/19/11,22.10338681,50.72857143,39.94285714,Seattle
11/20/11,11/26/11,18.53832442,49.08571429,38.41428571,Seattle
